client_id,name,cpf,age,state,income_brl,plan,acquisition_ch,credit_score,created_at,churned,churn_date,kyc_verified
CLI00023,Cliente 23,812.191.361-XX,51,BA,8512.08,Premium,App Store,689,2024-10-24 07:51:03,False,,True
CLI00024,Cliente 24,091.699.854-XX,33,RJ,3998.01,Básico,App Store,740,2024-03-18 11:31:09,False,,True
CLI00025,Cliente 25,247.510.799-XX,38,GO,8184.13,Básico,Indicação,492,2024-07-10 06:46:58,True,2025-02-27 06:46:58,True
CLI00026,Cliente 26,425.135.427-XX,52,SC,4929.87,Profissional,Indicação,621,2023-02-26 21:40:43,False,,True
CLI00027,Cliente 27,808.412.411-XX,37,PR,2852.09,Básico,Instagram,551,2024-06-30 10:56:05,False,,True
CLI00028,Cliente 28,534.874.016-XX,35,MG,2791.03,Básico,Indicação,818,2023-05-01 17:45:32,True,2023-09-15 17:45:32,True
CLI00029,Cliente 29,242.786.801-XX,18,SP,9433.63,Básico,Parceiro,770,2023-02-04 05:50:12,False,,False
CLI00030,Cliente 30,805.982.620-XX,62,SP,5095.63,Básico,Orgânico,945,2024-11-16 22:17:46,False,,True
CLI00031,Cliente 31,053.315.869-XX,68,RJ,11615.66,Básico,Parceiro,777,2024-11-29 06:13:46,False,,True
CLI00032,Cliente 32,260.256.342-XX,28,PE,7788.3,Básico,Instagram,512,2023-07-03 21:06:13,False,,True
CLI00033,Cliente 33,733.754.330-XX,42,SP,4526.14,Básico,Google Ads,818,2023-03-25 23:02:54,False,,True
CLI00034,Cliente 34,145.868.501-XX,39,MG,2712.64,Profissional,Parceiro,582,2023-11-06 11:56:39,False,,True
CLI00035,Cliente 35,401.965.569-XX,29,RJ,7561.89,Premium,Instagram,535,2023-07-22 21:24:15,False,,True
CLI00036,Cliente 36,340.608.835-XX,42,SP,4509.41,Básico,Google Ads,724,2023-03-31 19:47:37,False,,True
CLI00037,Cliente 37,148.465.648-XX,39,RS,2973.37,Profissional,Orgânico,731,2024-05-30 22:17:16,False,,True
CLI00038,Cliente 38,299.468.044-XX,60,SP,1761.08,Profissional,Indicação,664,2023-11-23 13:41:15,False,,True
CLI00039,Cliente 39,577.738.721-XX,55,GO,5744.11,Básico,Indicação,743,2024-09-02 07:36:22,False,,True
CLI00040,Cliente 40,134.332.003-XX,58,PR,5246.03,Básico,Orgânico,662,2024-05-30 15:07:56,False,,True
CLI00041,Cliente 41,769.367.632-XX,72,RS,5629.48,Profissional,Instagram,751,2024-04-19 18:58:21,False,,True
CLI00042,Cliente 42,163.287.083-XX,66,CE,4510.69,Básico,Instagram,417,2023-01-05 07:21:46,False,,True
CLI00043,Cliente 43,889.579.868-XX,47,SP,2738.57,Profissional,Parceiro,744,2023-04-05 06:17:17,True,2023-12-28 06:17:17,True
CLI00044,Cliente 44,743.487.347-XX,65,RJ,8269.57,Básico,Indicação,765,2023-05-04 14:55:06,False,,False
CLI00045,Cliente 45,581.223.623-XX,33,MG,2228.0,Profissional,Orgânico,736,2023-08-10 22:21:31,False,,False
CLI00046,Cliente 46,603.669.096-XX,39,RJ,5802.33,Premium,Google Ads,749,2023-11-13 14:12:10,False,,True
CLI00047,Cliente 47,688.937.346-XX,37,RS,8185.11,Básico,App Store,697,2023-10-01 05:15:33,False,,True
CLI00048,Cliente 48,627.298.069-XX,39,SP,5040.13,Profissional,Indicação,633,2023-10-30 00:49:25,False,,True
CLI00049,Cliente 49,272.046.537-XX,23,RJ,7074.03,Premium,App Store,608,2023-01-22 01:13:07,False,,True
CLI00050,Cliente 50,417.080.531-XX,42,CE,6528.57,Básico,Instagram,641,2024-08-14 06:21:00,True,2025-04-16 06:21:00,True
CLI00051,Cliente 51,330.923.271-XX,20,SP,2780.23,Premium,Indicação,578,2024-05-21 05:35:14,False,,True
CLI00052,Cliente 52,529.912.419-XX,47,SP,7525.6,Básico,Google Ads,661,2023-06-19 07:09:12,False,,False
CLI00053,Cliente 53,663.193.149-XX,54,SP,7194.47,Premium,Google Ads,520,2023-08-31 07:18:16,False,,True
CLI00054,Cliente 54,586.518.506-XX,54,SP,8347.38,Básico,Indicação,596,2024-09-10 10:45:03,False,,True
CLI00055,Cliente 55,726.284.987-XX,45,RJ,8459.74,Profissional,Instagram,577,2023-03-23 23:23:13,False,,True
CLI00056,Cliente 56,531.473.799-XX,64,RS,2416.42,Básico,Orgânico,709,2024-10-03 08:48:30,False,,True
CLI00057,Cliente 57,527.354.549-XX,19,GO,2461.34,Profissional,Google Ads,469,2023-09-19 06:53:15,False,,True
CLI00058,Cliente 58,136.783.777-XX,53,RS,2841.12,Básico,Orgânico,595,2023-08-03 14:01:10,True,2023-12-08 14:01:10,True
CLI00059,Cliente 59,495.788.568-XX,36,MG,3702.79,Básico,App Store,780,2023-03-14 06:38:24,True,2023-08-15 06:38:24,True
CLI00060,Cliente 60,313.518.233-XX,47,SC,10160.26,Básico,App Store,631,2024-06-29 22:09:56,True,2024-12-04 22:09:56,True
CLI00061,Cliente 61,894.134.352-XX,64,PR,4608.62,Básico,Instagram,591,2023-08-03 18:19:35,False,,True
CLI00062,Cliente 62,084.271.094-XX,52,SP,6654.13,Básico,Parceiro,753,2024-07-03 22:25:16,True,2024-08-25 22:25:16,True
CLI00063,Cliente 63,471.167.190-XX,39,GO,1940.5,Básico,Orgânico,608,2023-12-09 02:56:00,True,2024-02-03 02:56:00,True
CLI00064,Cliente 64,131.869.993-XX,54,RS,6163.36,Profissional,Orgânico,848,2024-09-22 00:47:03,False,,True
CLI00065,Cliente 65,496.499.091-XX,46,SP,2415.97,Profissional,Orgânico,677,2023-10-23 10:45:37,False,,True
CLI00066,Cliente 66,232.812.067-XX,58,SP,6414.34,Básico,App Store,742,2023-06-11 09:26:50,True,2023-08-21 09:26:50,True
CLI00067,Cliente 67,471.349.361-XX,36,BA,3534.93,Básico,Orgânico,781,2023-12-31 23:48:12,True,2024-06-25 23:48:12,True
CLI00068,Cliente 68,210.249.947-XX,27,RJ,12404.82,Básico,Google Ads,808,2024-05-18 00:47:10,False,,True
CLI00069,Cliente 69,488.771.906-XX,37,SP,4920.12,Básico,Parceiro,740,2024-06-18 21:53:17,False,,True
CLI00070,Cliente 70,990.490.278-XX,34,RS,6041.7,Profissional,App Store,761,2024-04-13 22:02:16,True,2024-09-07 22:02:16,True
CLI00071,Cliente 71,671.756.551-XX,29,RJ,3397.92,Profissional,Instagram,903,2023-08-05 01:12:51,False,,True
CLI00072,Cliente 72,468.071.545-XX,44,RS,6639.93,Profissional,Instagram,777,2023-09-14 03:59:09,False,,True
CLI00073,Cliente 73,087.603.859-XX,43,SP,5817.32,Básico,Indicação,575,2024-08-23 01:20:13,False,,True
CLI00074,Cliente 74,348.247.710-XX,46,RJ,2502.46,Profissional,Instagram,803,2024-04-30 18:27:50,False,,True
CLI00075,Cliente 75,480.861.317-XX,69,SP,8701.12,Básico,Parceiro,824,2024-04-17 22:11:25,True,2024-08-06 22:11:25,True
CLI00076,Cliente 76,846.773.782-XX,71,RJ,5066.71,Básico,Parceiro,709,2024-05-18 02:11:01,True,2024-11-13 02:11:01,True
CLI00077,Cliente 77,214.658.404-XX,50,BA,4853.52,Profissional,Google Ads,664,2024-04-10 13:12:29,False,,True
CLI00078,Cliente 78,727.875.588-XX,55,MG,5476.91,Básico,App Store,778,2024-10-12 11:40:57,False,,True
CLI00079,Cliente 79,396.360.576-XX,30,BA,3847.78,Básico,Indicação,681,2023-09-07 22:21:52,False,,True
CLI00080,Cliente 80,270.289.517-XX,68,MG,1944.97,Profissional,Instagram,548,2024-05-30 12:03:23,False,,True
CLI00081,Cliente 81,621.745.961-XX,18,SP,5969.99,Básico,App Store,634,2023-12-21 21:45:24,False,,True
CLI00082,Cliente 82,657.809.134-XX,61,RS,1677.02,Profissional,Indicação,596,2024-10-24 00:47:38,False,,True
CLI00083,Cliente 83,117.240.050-XX,23,SP,14591.58,Profissional,App Store,698,2024-08-03 00:44:02,False,,True
CLI00084,Cliente 84,692.221.969-XX,45,SC,5081.41,Profissional,Orgânico,657,2023-10-19 03:32:39,True,2024-08-15 03:32:39,True
CLI00085,Cliente 85,474.074.821-XX,55,SP,6873.75,Profissional,Parceiro,754,2024-01-22 13:11:23,True,2024-10-14 13:11:23,True
CLI00086,Cliente 86,647.436.713-XX,55,SP,9287.41,Profissional,Orgânico,678,2023-09-26 09:48:36,False,,True
CLI00087,Cliente 87,406.409.097-XX,54,CE,3193.69,Profissional,Parceiro,624,2023-10-06 19:29:01,False,,True
CLI00088,Cliente 88,953.394.210-XX,67,PR,3056.32,Básico,Orgânico,509,2023-08-11 07:02:44,False,,True
CLI00089,Cliente 89,214.562.328-XX,20,SP,3263.63,Básico,App Store,644,2023-12-09 09:32:23,False,,True
CLI00090,Cliente 90,424.745.171-XX,51,SC,8136.4,Profissional,App Store,786,2023-10-12 04:04:43,False,,True
CLI00091,Cliente 91,685.160.481-XX,61,RJ,7435.99,Premium,Orgânico,601,2023-06-25 05:45:45,False,,True
CLI00092,Cliente 92,965.137.098-XX,65,BA,5051.12,Básico,Parceiro,696,2024-06-06 14:25:48,False,,True
CLI00093,Cliente 93,746.120.047-XX,32,CE,4443.32,Básico,Instagram,684,2024-04-18 20:45:23,False,,True
CLI00094,Cliente 94,758.692.617-XX,52,MG,11739.17,Premium,Indicação,765,2023-07-02 08:59:23,False,,True
CLI00095,Cliente 95,377.351.585-XX,20,MG,4598.29,Profissional,App Store,767,2023-08-06 06:44:03,False,,False
CLI00096,Cliente 96,713.900.532-XX,30,SP,2379.22,Básico,App Store,840,2023-08-03 06:48:10,False,,True
CLI00097,Cliente 97,839.335.290-XX,22,SP,6033.33,Profissional,Indicação,875,2023-06-09 09:18:33,False,,True
CLI00098,Cliente 98,210.205.395-XX,26,RS,3334.97,Básico,Instagram,601,2023-04-23 09:10:45,False,,False
CLI00099,Cliente 99,811.775.891-XX,21,CE,7670.81,Profissional,Google Ads,827,2023-07-26 02:48:32,True,2024-03-27 02:48:32,True
CLI00100,Cliente 100,470.076.617-XX,57,GO,2347.16,Básico,Indicação,672,2023-06-22 01:59:12,True,2024-04-13 01:59:12,True
CLI00101,Cliente 101,592.124.998-XX,22,MG,3396.59,Profissional,Instagram,822,2023-12-11 12:36:04,False,,True
CLI00102,Cliente 102,789.611.836-XX,56,SC,1128.5,Profissional,Indicação,541,2023-10-23 20:34:21,False,,True
CLI00103,Cliente 103,766.156.545-XX,44,SP,6035.86,Básico,Parceiro,879,2023-06-27 11:25:44,False,,True
CLI00104,Cliente 104,116.152.809-XX,48,MG,3751.69,Premium,Orgânico,724,2024-06-17 11:16:19,False,,True
CLI00105,Cliente 105,656.049.451-XX,39,SP,2912.41,Básico,Indicação,569,2024-03-12 06:32:13,False,,True
CLI00106,Cliente 106,315.851.493-XX,27,RS,2990.7,Profissional,Google Ads,613,2023-06-15 05:44:19,False,,True
CLI00107,Cliente 107,998.094.024-XX,53,RJ,3602.03,Básico,Indicação,757,2024-10-18 10:50:02,False,,True
CLI00108,Cliente 108,229.612.018-XX,39,MG,4232.81,Profissional,Parceiro,766,2023-08-28 23:53:31,False,,True
CLI00109,Cliente 109,545.991.022-XX,47,PR,3788.82,Profissional,App Store,608,2023-11-23 02:14:41,False,,True
CLI00110,Cliente 110,767.976.438-XX,61,RS,8054.7,Premium,Instagram,896,2023-02-08 15:38:24,False,,True
CLI00111,Cliente 111,978.403.690-XX,25,RJ,12105.49,Premium,App Store,658,2023-11-30 22:10:15,False,,False
CLI00112,Cliente 112,445.107.622-XX,31,MG,8788.3,Básico,Google Ads,727,2023-08-23 02:51:50,False,,True
CLI00113,Cliente 113,516.060.715-XX,32,MG,4151.27,Premium,Google Ads,450,2024-06-30 13:22:59,False,,True
CLI00114,Cliente 114,641.605.297-XX,43,RJ,6157.05,Profissional,Instagram,485,2024-03-21 08:56:41,False,,True
CLI00115,Cliente 115,136.968.164-XX,23,SP,6123.93,Básico,App Store,537,2023-10-09 01:25:23,False,,True
CLI00116,Cliente 116,181.883.552-XX,39,GO,16866.01,Básico,Google Ads,611,2023-06-22 02:24:09,False,,True
CLI00117,Cliente 117,921.277.997-XX,34,SP,3633.88,Profissional,Google Ads,775,2023-04-24 17:55:05,False,,True
CLI00118,Cliente 118,955.271.774-XX,54,SP,4609.07,Básico,Google Ads,525,2024-11-16 02:34:09,False,,True
CLI00119,Cliente 119,147.700.541-XX,21,SP,2365.88,Premium,Google Ads,510,2024-04-04 08:51:48,False,,True
CLI00120,Cliente 120,867.980.793-XX,23,RS,8191.17,Profissional,Indicação,575,2024-10-26 07:49:26,False,,True
CLI00121,Cliente 121,071.518.203-XX,50,PE,7941.16,Profissional,Orgânico,658,2024-01-05 10:22:03,False,,True
CLI00122,Cliente 122,255.466.590-XX,51,RJ,13186.92,Profissional,Orgânico,620,2023-12-08 07:24:57,False,,True
CLI00123,Cliente 123,864.492.519-XX,39,SP,8267.68,Básico,Instagram,706,2024-05-17 18:38:47,True,2024-08-03 18:38:47,True
CLI00124,Cliente 124,629.148.652-XX,37,SP,12262.15,Profissional,Indicação,355,2023-09-29 17:07:55,False,,True
CLI00125,Cliente 125,816.850.542-XX,65,SP,10034.25,Profissional,Orgânico,676,2024-10-05 20:54:54,False,,True
CLI00126,Cliente 126,322.141.888-XX,67,SP,5602.31,Básico,App Store,759,2023-09-23 10:21:09,False,,False
CLI00127,Cliente 127,962.229.270-XX,67,RS,23017.15,Básico,Orgânico,575,2023-09-19 13:44:34,False,,True
CLI00128,Cliente 128,794.738.347-XX,64,PR,2637.67,Profissional,Indicação,627,2024-06-09 08:19:07,False,,True
CLI00129,Cliente 129,977.468.862-XX,41,GO,2102.49,Básico,Instagram,721,2023-05-31 16:43:25,False,,True
CLI00130,Cliente 130,407.581.814-XX,56,RS,3956.62,Premium,Orgânico,621,2024-09-14 08:33:16,False,,True
CLI00131,Cliente 131,826.137.506-XX,35,MG,7930.65,Básico,Orgânico,667,2023-05-05 12:26:18,False,,False
CLI00132,Cliente 132,153.051.522-XX,41,MG,8018.53,Premium,Google Ads,718,2024-01-25 22:05:27,False,,False
CLI00133,Cliente 133,277.901.043-XX,48,MG,8602.49,Profissional,Orgânico,558,2024-10-06 11:52:37,False,,True
CLI00134,Cliente 134,614.341.036-XX,64,PR,7218.12,Premium,App Store,552,2024-03-02 06:27:09,False,,True
CLI00135,Cliente 135,980.893.246-XX,47,RS,7209.5,Básico,Instagram,450,2024-04-28 18:01:49,True,2025-02-07 18:01:49,False
CLI00136,Cliente 136,218.518.888-XX,33,RJ,1741.06,Premium,Google Ads,799,2023-10-02 00:58:03,False,,True
CLI00137,Cliente 137,540.515.319-XX,48,MG,7157.88,Profissional,App Store,528,2023-10-31 06:35:06,True,2024-06-15 06:35:06,True
CLI00138,Cliente 138,527.722.170-XX,26,PR,6753.95,Básico,Orgânico,822,2023-09-16 06:35:46,True,2024-07-21 06:35:46,True
CLI00139,Cliente 139,548.687.403-XX,68,RJ,5441.65,Básico,App Store,660,2023-02-04 00:36:29,True,2023-03-27 00:36:29,True
CLI00140,Cliente 140,541.566.765-XX,67,CE,6957.55,Básico,Parceiro,709,2024-10-31 15:25:37,True,2025-10-31 15:25:37,True
CLI00141,Cliente 141,841.616.928-XX,62,SP,6227.13,Básico,Instagram,599,2024-01-21 09:53:54,False,,True
CLI00142,Cliente 142,447.962.757-XX,23,GO,8039.7,Profissional,Google Ads,445,2023-03-21 16:33:49,False,,False
CLI00143,Cliente 143,640.165.820-XX,40,RJ,3275.26,Profissional,Orgânico,382,2024-11-06 18:40:06,False,,True
CLI00144,Cliente 144,021.355.690-XX,61,RJ,1609.14,Profissional,Google Ads,769,2024-04-16 21:58:47,False,,True
CLI00145,Cliente 145,571.928.565-XX,46,GO,2890.29,Profissional,Orgânico,684,2024-06-11 10:38:03,False,,True
CLI00146,Cliente 146,786.814.473-XX,25,PR,2895.38,Básico,Parceiro,711,2023-07-13 21:05:54,True,2023-11-15 21:05:54,True
CLI00147,Cliente 147,731.217.271-XX,62,PR,8077.94,Básico,Instagram,771,2023-08-10 19:32:19,False,,True
CLI00148,Cliente 148,188.442.258-XX,38,SP,12159.46,Profissional,Instagram,698,2024-10-18 17:39:28,False,,True
CLI00149,Cliente 149,058.957.829-XX,68,SP,1278.09,Profissional,Parceiro,731,2023-06-06 02:32:44,True,2024-03-14 02:32:44,True
CLI00150,Cliente 150,786.691.251-XX,37,RJ,3764.7,Básico,App Store,695,2023-02-21 01:38:00,False,,True
CLI00151,Cliente 151,892.268.018-XX,51,PR,11288.52,Profissional,App Store,771,2024-06-12 06:09:01,False,,True
CLI00152,Cliente 152,358.414.384-XX,28,MG,2424.37,Profissional,Google Ads,568,2023-05-08 21:25:49,False,,True
CLI00153,Cliente 153,829.922.995-XX,57,SP,5477.03,Premium,Indicação,967,2023-08-24 05:03:35,False,,True
CLI00154,Cliente 154,010.943.969-XX,20,PR,2906.44,Básico,App Store,674,2024-03-13 18:36:06,False,,True
CLI00155,Cliente 155,473.647.102-XX,58,SP,10127.22,Profissional,Google Ads,730,2024-01-22 20:06:08,False,,True
CLI00156,Cliente 156,255.562.588-XX,47,SP,3372.97,Básico,App Store,590,2024-01-12 03:05:43,True,2024-12-17 03:05:43,True
CLI00157,Cliente 157,321.046.963-XX,47,CE,5081.87,Básico,Parceiro,781,2023-07-07 18:19:13,True,2024-03-23 18:19:13,True
CLI00158,Cliente 158,953.278.774-XX,70,PR,7113.36,Básico,Google Ads,574,2023-05-05 01:01:02,False,,True
CLI00159,Cliente 159,339.500.479-XX,43,RJ,8053.82,Básico,Google Ads,658,2023-03-11 22:38:12,False,,True
CLI00160,Cliente 160,801.624.565-XX,61,MG,5414.37,Básico,Instagram,743,2024-05-23 04:17:27,False,,False
CLI00161,Cliente 161,584.168.784-XX,54,SP,4895.19,Básico,Orgânico,491,2023-02-09 17:38:54,False,,True
CLI00162,Cliente 162,216.558.523-XX,61,RJ,3193.96,Básico,Google Ads,758,2024-04-29 02:03:54,False,,True
CLI00163,Cliente 163,257.872.982-XX,50,RS,4182.51,Básico,App Store,517,2023-11-08 18:23:51,True,2023-12-27 18:23:51,True
CLI00164,Cliente 164,949.588.879-XX,38,SP,2601.5,Profissional,Orgânico,515,2024-04-21 04:25:05,False,,True
CLI00165,Cliente 165,169.409.749-XX,19,SP,4587.51,Profissional,Parceiro,668,2024-09-25 14:39:37,False,,True
CLI00166,Cliente 166,289.623.091-XX,21,RJ,5895.02,Profissional,Indicação,789,2024-07-14 07:52:22,False,,True
CLI00167,Cliente 167,636.897.028-XX,38,RJ,1001.66,Profissional,Google Ads,780,2023-12-09 13:33:17,False,,True
CLI00168,Cliente 168,652.785.854-XX,60,BA,4108.52,Básico,Instagram,564,2023-09-10 11:21:44,False,,True
CLI00169,Cliente 169,344.375.758-XX,33,SP,2524.14,Básico,App Store,860,2023-05-30 08:03:49,True,2023-11-28 08:03:49,True
CLI00170,Cliente 170,198.665.240-XX,64,SC,10232.48,Profissional,Instagram,389,2024-09-09 19:25:49,False,,True
CLI00171,Cliente 171,747.338.484-XX,23,RS,3587.78,Básico,Indicação,708,2024-07-08 16:33:30,False,,True
CLI00172,Cliente 172,308.330.165-XX,65,PR,10403.35,Profissional,App Store,700,2024-04-23 05:03:06,False,,True
CLI00173,Cliente 173,082.677.345-XX,61,SP,1779.42,Premium,Google Ads,541,2023-03-20 02:17:34,False,,True
CLI00174,Cliente 174,380.262.067-XX,67,SP,5977.03,Básico,App Store,499,2023-02-15 22:52:13,True,2024-01-04 22:52:13,True
CLI00175,Cliente 175,049.915.478-XX,36,GO,1999.8,Profissional,Google Ads,786,2024-08-04 18:25:53,False,,True
CLI00176,Cliente 176,743.152.742-XX,26,SP,3694.8,Básico,Orgânico,771,2024-11-21 17:00:25,False,,False
CLI00177,Cliente 177,296.685.161-XX,68,SC,3971.82,Básico,Orgânico,680,2023-09-19 20:13:35,True,2024-01-25 20:13:35,True
CLI00178,Cliente 178,304.637.454-XX,48,GO,4018.13,Básico,Instagram,811,2023-04-20 05:11:43,False,,True
CLI00179,Cliente 179,530.174.268-XX,18,PR,3051.59,Profissional,Indicação,844,2024-03-20 23:12:28,False,,True
CLI00180,Cliente 180,145.933.272-XX,63,SC,4969.43,Básico,Parceiro,691,2024-11-20 13:49:04,False,,True
CLI00181,Cliente 181,878.339.187-XX,41,PR,5283.73,Profissional,Google Ads,807,2024-04-15 11:47:32,False,,True
CLI00182,Cliente 182,108.839.822-XX,22,SP,16372.27,Profissional,Google Ads,736,2023-10-09 00:09:31,False,,True
CLI00183,Cliente 183,971.870.728-XX,46,SP,3810.33,Profissional,Orgânico,572,2024-02-09 03:52:09,True,2024-06-23 03:52:09,True
CLI00184,Cliente 184,406.403.910-XX,21,SP,4631.71,Profissional,Google Ads,925,2024-03-14 00:03:59,False,,True
CLI00185,Cliente 185,017.046.226-XX,22,RJ,6186.77,Premium,Google Ads,365,2024-06-28 00:07:13,False,,True
CLI00186,Cliente 186,661.825.128-XX,42,PR,5497.56,Básico,Google Ads,559,2024-11-23 07:39:45,False,,True
CLI00187,Cliente 187,004.786.863-XX,64,SC,8059.84,Básico,Instagram,635,2023-04-09 21:55:18,False,,True
CLI00188,Cliente 188,069.033.119-XX,27,MG,17133.46,Básico,Orgânico,613,2023-09-26 20:53:06,True,2023-12-22 20:53:06,False
CLI00189,Cliente 189,030.673.830-XX,61,MG,5876.14,Básico,Instagram,443,2024-04-09 07:31:05,False,,True
CLI00190,Cliente 190,959.953.428-XX,32,SP,22835.02,Profissional,Google Ads,638,2023-08-13 16:15:41,False,,True
CLI00191,Cliente 191,268.705.685-XX,35,RJ,2296.6,Profissional,Indicação,490,2023-08-22 09:44:37,True,2024-07-19 09:44:37,True
CLI00192,Cliente 192,873.342.708-XX,27,PR,1929.91,Básico,Instagram,601,2023-11-14 02:30:09,True,2024-03-17 02:30:09,True
CLI00193,Cliente 193,634.351.751-XX,53,SP,4086.03,Básico,Instagram,570,2023-11-20 12:16:09,False,,True
CLI00194,Cliente 194,699.013.983-XX,30,SP,4700.1,Premium,App Store,724,2024-10-06 05:15:13,False,,True
CLI00195,Cliente 195,033.173.936-XX,39,GO,8022.61,Profissional,Parceiro,724,2024-11-06 08:10:02,False,,True
CLI00196,Cliente 196,678.544.587-XX,38,SC,4712.15,Profissional,Instagram,450,2024-03-04 19:30:14,False,,True
CLI00197,Cliente 197,535.560.932-XX,64,CE,8031.21,Premium,Orgânico,666,2024-09-15 13:35:11,False,,False
CLI00198,Cliente 198,642.353.693-XX,55,PR,4377.93,Básico,Instagram,631,2024-03-05 18:28:30,False,,True
CLI00199,Cliente 199,777.252.287-XX,61,RJ,4998.99,Premium,Google Ads,653,2024-05-23 10:46:36,False,,True
CLI00200,Cliente 200,080.100.623-XX,52,RS,2288.29,Profissional,App Store,819,2024-11-21 18:57:23,False,,False
CLI00201,Cliente 201,509.977.008-XX,18,SP,2629.4,Básico,App Store,803,2023-04-28 07:23:48,True,2024-01-16 07:23:48,True
CLI00202,Cliente 202,484.086.211-XX,19,BA,16738.02,Profissional,Parceiro,708,2023-01-10 04:55:05,False,,True
CLI00203,Cliente 203,454.615.679-XX,30,GO,2187.08,Profissional,Instagram,720,2023-07-07 03:59:04,False,,True
CLI00204,Cliente 204,101.666.870-XX,32,SP,5163.5,Premium,Instagram,777,2024-06-25 13:25:37,False,,True
CLI00205,Cliente 205,591.803.397-XX,28,SP,4843.7,Básico,App Store,583,2024-06-29 21:58:59,True,2025-03-08 21:58:59,True
CLI00206,Cliente 206,890.250.392-XX,61,BA,1791.68,Premium,Parceiro,438,2023-02-27 17:56:53,False,,True
CLI00207,Cliente 207,142.939.685-XX,70,SP,1608.71,Profissional,Google Ads,614,2024-07-07 13:54:12,False,,True
CLI00208,Cliente 208,185.016.315-XX,26,SP,4813.54,Básico,Indicação,678,2024-07-28 13:50:58,False,,True
CLI00209,Cliente 209,504.773.586-XX,56,SP,6890.14,Básico,Orgânico,466,2024-04-21 19:16:38,False,,True
CLI00210,Cliente 210,194.311.426-XX,55,GO,4493.95,Profissional,Parceiro,570,2024-06-11 22:25:49,False,,True
CLI00211,Cliente 211,551.104.754-XX,27,RS,1916.06,Profissional,Google Ads,658,2024-05-07 08:46:08,False,,True
CLI00212,Cliente 212,888.610.158-XX,29,SP,6695.32,Básico,Indicação,793,2023-03-09 19:20:18,False,,True
CLI00213,Cliente 213,604.661.839-XX,68,MG,1773.3,Profissional,Instagram,671,2024-04-09 12:20:39,False,,True
CLI00214,Cliente 214,444.721.264-XX,42,PR,6040.07,Profissional,Orgânico,604,2024-06-16 07:12:57,False,,True
CLI00215,Cliente 215,379.937.124-XX,68,PR,4537.65,Profissional,Instagram,785,2024-01-12 02:43:33,True,2024-06-18 02:43:33,False
CLI00216,Cliente 216,657.569.245-XX,39,RJ,4715.39,Básico,Indicação,627,2023-11-04 08:13:59,False,,True
